analysis,x,time,estimate,lcl,ucl,natrisk
Survival,1,0.939944703,0.9912172663,0.990126117,0.9922109996,
Survival,1,0.9445572297,0.9911664971,0.9900705165,0.9921647794,
Survival,1,0.9457080664,0.9911156785,0.9900148802,0.9921184987,
Survival,1,0.9530202233,0.9910645136,0.9899588528,0.9920719124,
Survival,1,0.9548917128,0.9910132561,0.989902738,0.9920252299,
Survival,1,0.9611060309,0.9909616784,0.9898462637,0.9919782632,
Survival,1,0.9687228195,0.9909097575,0.9897894023,0.9919309932,
Survival,1,0.9890466787,0.9908567081,0.9897312125,0.9918827724,
Survival,1,0.992422675,0.9908035106,0.9896728707,0.9918344082,
Survival,1,0.9933209947,0.9907502387,0.9896144653,0.9917859612,
Survival,1,0.9959096468,0.9906968031,0.989555889,0.991737358,
Survival,1,0.9961556672,0.9906433473,0.9894973139,0.9916887169,
Survival,1,0.9962340315,0.9905898886,0.9894387604,0.9916400525,
Survival,1,0.9984118337,0.9905362968,0.9893800724,0.9915912574,
Survival,1,1,0.9905362968,0.9893800724,0.9915912574,18484
Survival,1,1.0078297795,0.9904822017,0.9893208065,0.991542026,
Survival,1,1.0097377893,0.990427994,0.9892614312,0.9914926805,
Survival,1,1.0212715389,0.9903731591,0.9892013297,0.9914427965,
Survival,1,1.025845735,0.990318068,0.9891409472,0.9913926794,
Survival,1,1.0262622218,0.9902629646,0.989080576,0.9913425304,
Survival,1,1.0303457512,0.9902076365,0.9890199615,0.9912921744,
Survival,1,1.0312125191,0.9901522464,0.9889592986,0.9912417456,
Survival,1,1.0339659474,0.990096648,0.9888984119,0.9911911233,
Survival,1,1.0344460208,0.9900410246,0.988837521,0.9911404588,
Survival,1,1.0356803215,0.9899853418,0.9887765842,0.991089724,
Survival,1,1.0382104601,0.9899295334,0.9887155225,0.9910388642,
Survival,1,1.0386285972,0.9898737187,0.9886544783,0.9909879782,
Survival,1,1.0482875906,0.9898174311,0.988592894,0.99093668,
Survival,1,1.0566281341,0.9897606592,0.9885307563,0.9908849601,
Survival,1,1.0584870816,0.9897038091,0.9884685507,0.9908331538,
Survival,1,1.0688771221,0.9896463316,0.9884056209,0.9907808074,
Survival,1,1.0694215687,0.9895888074,0.9883426614,0.9907284003,
Survival,1,1.0731798982,0.9895310718,0.9882794752,0.9906757964,
Survival,1,1.0734029382,0.9894733261,0.988216303,0.9906231624,
Survival,1,1.0762391619,0.989415391,0.9881529304,0.9905703499,
Survival,1,1.0799732954,0.9893573062,0.9880894049,0.9905173919,
Survival,1,1.0803544551,0.9892992044,0.9880258847,0.9904643982,
Survival,1,1.0814454321,0.989241048,0.9879623246,0.9904113379,
Survival,1,1.0868029279,0.9891826029,0.9878984455,0.990358017,
Survival,1,1.0934711402,0.9891237581,0.987834115,0.9903043434,
Survival,1,1.0944750128,0.9890648641,0.9877697516,0.9902506075,
Survival,1,1.1000282819,0.9890056529,0.9877050353,0.990196587,
Survival,1,1.1183463401,0.988945274,0.9876389512,0.9901415781,
Survival,1,1.1295297833,0.9888842694,0.9875721462,0.9900860292,
Survival,1,1.1367701001,0.9888227563,0.9875047609,0.990030037,
Survival,1,1.1657034428,0.9887594109,0.9874352065,0.9899725125,
Survival,1,1.1693157595,0.9886958373,0.9873654098,0.9899147741,
Survival,1,1.1716959411,0.9886321039,0.9872954528,0.9898568777,
Survival,1,1.1760100403,0.9885680982,0.9872252005,0.989798731,
Survival,1,1.1805539271,0.9885037844,0.9871546098,0.9897403045,
Survival,1,1.1822988268,0.9884393406,0.9870838949,0.9896817444,
Survival,1,1.1828152537,0.9883748505,0.9870131562,0.9896231196,
Survival,1,1.2006722961,0.9883092257,0.9869410861,0.9895635362,
Survival,1,1.2127220238,0.9882428428,0.9868681372,0.9895033033,
Survival,1,1.2345790085,0.9881750435,0.9867935153,0.9894418833,
Survival,1,1.2353221403,0.9881071883,0.9867188627,0.9893803869,
Survival,1,1.2401778956,0.9880390195,0.986643868,0.9893186038,
Survival,1,1.2487218667,0.9879702337,0.9865681655,0.9892562861,
Survival,1,1.2576819474,0.987900917,0.9864918593,0.9891935039,
Survival,1,1.2607981452,0.9878314248,0.986415379,0.9891305467,
Survival,1,1.267175869,0.9877614502,0.986338354,0.9890671642,
Survival,1,1.2724171117,0.9876911319,0.9862609521,0.9890034693,
Survival,1,1.3079922217,0.9876181696,0.9861803875,0.988937592,
Survival,1,1.3241973575,0.9875440018,0.9860984016,0.9888707025,
Survival,1,1.3400629933,0.9874687374,0.9860151266,0.988802889,
Survival,1,1.3457000161,0.9873930983,0.9859314428,0.9887347333,
Survival,1,1.3481472222,0.9873173257,0.9858476445,0.9886664296,
Survival,1,1.3507622813,0.987241308,0.9857635954,0.9885978882,
Survival,1,1.3549475061,0.9871649847,0.9856792218,0.9885290602,
Survival,1,1.3659297678,0.9870877176,0.9855937466,0.9884594304,
Survival,1,1.3746817682,0.9870097547,0.9855074726,0.9883891985,
Survival,1,1.3840955166,0.9869312024,0.9854205299,0.9883184497,
Survival,1,1.4153937902,0.9868500737,0.9853304888,0.9882455888,
Survival,1,1.4185823865,0.9867687108,0.9852402175,0.9881724931,
Survival,1,1.420286978,0.9866871934,0.985149813,0.9880992265,
Survival,1,1.4208939429,0.9866056423,0.9850594229,0.9880258863,
Survival,1,1.4256508531,0.9865236642,0.9849685657,0.9879521574,
Survival,1,1.4534647405,0.9864395688,0.9848751709,0.9878766856,
Survival,1,1.4608379933,0.9863549104,0.9847811453,0.9878007138,
Survival,1,1.4661030682,0.9862697844,0.9846866062,0.9877243177,
Survival,1,1.4691549135,0.9861844522,0.9845918748,0.9876477061,
Survival,1,1.4799365232,0.9860981341,0.9844959942,0.9875702558,
Survival,1,1.4828606287,0.9860114822,0.9843997659,0.9874924871,
Survival,1,1.4900831528,0.9859242323,0.9843028655,0.9874141888,
Survival,1,1.4960585361,0.9858364932,0.9842054272,0.9873354474,
Survival,1,1.4997005589,0.985748417,0.9841076379,0.9872563842,
Survival,1,1.5021604855,0.9856601199,0.9840096401,0.9871770922,
Survival,1,1.515213943,0.9855706527,0.9839102693,0.9870968125,
Survival,1,1.5170593695,0.9854811205,0.9838108827,0.9870164273,
Survival,1,1.5354324796,0.9853899988,0.9837096087,0.9869347194,
Survival,1,1.536377374,0.9852987421,0.9836082353,0.986852848,
Survival,1,1.5432072568,0.9852068985,0.983506207,0.986770453,
Survival,1,1.5614074762,0.9851136024,0.9834024605,0.9866868439,
Survival,1,1.5728250107,0.9850191976,0.9832974192,0.9866022942,
Survival,1,1.5868025569,0.9849233133,0.9831906263,0.9865165091,
Survival,1,1.6092548884,0.9848255056,0.9830815329,0.9864291375,
Survival,1,1.6159725366,0.9847270625,0.9829717326,0.9863411973,
Survival,1,1.6187343536,0.9846283232,0.9828616456,0.9862529562,
Survival,1,1.6325418898,0.9845283203,0.9827500755,0.9861636494,
Survival,1,1.6447435968,0.9844272601,0.9826372784,0.9860734391,
Survival,1,1.6713414304,0.984323527,0.9825212496,0.9859810536,
Survival,1,1.6728569141,0.9842196844,0.9824051751,0.9858885063,
Survival,1,1.6738720912,0.9841157761,0.9822891079,0.9857958329,
Survival,1,1.676772201,0.9840113828,0.9821725268,0.9857027039,
Survival,1,1.693056778,0.9839051983,0.9820538116,0.9856080911,
Survival,1,1.7230758001,0.9837958148,0.9819312071,0.985510893,
Survival,1,1.7914724451,0.9836790853,0.9817994879,0.9854079136,
Survival,1,1.7969646031,0.983561869,0.9816672821,0.9853044524,
